6045856	530
6047408	533
6048960	532
6050512	533
6052064	533
6053616	533
6055176	535
6056728	534
6058280	536
6059832	534
6061384	537
6062936	535
6064488	537
6066040	538
6067592	538
6069144	541
6070696	540
6072248	543
6073800	542
6075352	544
6076904	545
6078456	547
6080008	549
6081552	549
6083104	553
6084648	552
6086200	556
6087752	556
6089304	559
6090856	561
6092408	563
6093952	566
6095504	566
6097048	570
6098600	570
6100144	575
6101696	575
6103240	578
6104792	580
6106344	583
6107896	586
6109456	587
6111008	591
6112560	591
6114112	595
6115664	596
6117216	599
6118768	601
6120328	602
6121880	606
6123432	606
6124984	610
6126536	610
6128088	614
6129640	614
6131192	617
6132736	619
6134288	620
6135832	623
6137384	623
6138936	626
6140488	626
6142040	629
6143584	629
6145128	631
6146680	633
6148224	633
6149776	636
6151320	635
6152872	639
6154424	638
6155976	640
6157520	640
6159064	641
6160616	643
6162160	642
6163712	645
6165268	644
6166816	647
6168368	646
6169920	647
6171464	647
6173016	647
6174568	649
6176120	647
6177672	650
6179216	648
6180768	651
6182320	649
6183872	650
6185424	650
6186976	651
6188528	652
6190080	650
6191632	653
6193176	650
6194728	653
6196272	650
6197824	651
6199368	651
6200920	651
6202456	653
6204008	651
6205552	653
6207104	651
6208648	653
6210200	651
6211744	652
6213296	651
6214840	651
6216392	652
6217944	650
6219496	652
6221048	649
6222600	651
6224152	649
6225704	649
6227256	649
6228808	648
6230360	650
6231912	648
6233464	649
6235016	647
6236568	648
6238120	647
6239672	647
6241216	647
6242768	645
6244320	647
6245872	644
6247424	646
6248976	643
6250520	644
6252064	643
6253608	643
6255160	643
6256712	642
6258264	643
6259816	640
6261368	641
6262912	638
6264464	639
6266016	638
6267568	637
6269120	638
6270672	635
6272224	637
6273776	634
6275328	635
6276884	632
6278440	632
6279992	631
6281544	630
6283096	631
6284648	628
6286200	629
6287752	626
6289304	628
6290856	626
6292408	625
6293960	625
6295512	623
6297064	625
6298616	622
6300168	623
6301712	620
6303264	621
6304808	620
6306360	619
6307904	619
6309456	617
6311000	619
6312552	616
6314096	617
6315648	614
6317192	615
6318744	614
6320288	613
6321840	613
6323384	612
6324936	613
6326496	610
6328048	612
6329608	610
6331160	611
6332712	610
6334264	609
6335816	609
6337368	608
6338920	610
6340472	607
6342024	609
6343576	607
6345128	607
6346680	607
6348232	606
6349784	607
6351336	605
6352888	607
6354440	604
6355992	606
6357544	604
6359088	604
6360640	605
6362192	603
6363744	605
6365296	602
6366848	604
6368400	602
6369952	603
6371496	602
6373048	602
6374600	603
6376152	601
6377712	603
6379264	600
6380824	602
6382376	600
6383928	600
6385480	600
6387032	600
6388584	601
6390136	599
6391688	601
6393240	599
6394784	600
6396328	598
6397880	599
6399424	600
6400968	599
6402520	600
6404072	598
6405624	601
6407176	598
6408728	599
6410280	598
6411832	598
6413384	598
6414936	597
6416488	599
6418040	595
6419592	599
6421144	596
6422696	597
6424248	596
6425800	596
6427352	597
6428904	595
6430456	597
6432008	595
6433560	596
6435112	595
6436664	595
6438216	595
6439768	594
6441320	596
6442872	594
6444424	596
6445976	593
6447528	595
6449080	593
6450632	593
6452184	594
6453736	593
6455288	595
6456840	592
6458392	594
6459944	591
6461488	592
6463040	591
6464592	591
6466136	592
6467688	590
6469240	592
6470784	590
6472336	592
6473880	589
6475432	590
6476984	589
6478536	589
6480088	590
6481640	587
6483192	590
6484744	587
6486304	589
6487856	587
6489408	587
6490960	588
6492512	586
6494064	588
6495616	585
6497168	588
6498720	585
6500272	586
6501824	585
6503376	585
6504928	585
6506488	583
6508040	585
6509584	583
6511136	584
6512680	582
6514232	583
6515776	582
6517328	581
6518888	581
6520440	580
6521984	582
6523536	579
6525088	581
6526640	579
6528192	579
6529744	579
6531304	578
6532856	579
6534416	577
6535968	578
6537520	576
6539072	577
6540624	575
6542176	575
6543728	576
6545288	574
6546840	576
6548384	574
6549936	575
6551488	573
6553032	573
6554576	572
6556120	572
6557664	572
6559208	571
6560760	572
6562304	570
6563856	572
6565400	569
6566936	570
6568480	569
6570032	569
6571576	569
6573128	567
6574672	568
6576208	566
6577760	567
6579312	565
6580856	566
6582408	565
6583960	564
6585512	564
6587056	563
6588608	564
6590152	562
6591704	563
6593256	561
6594808	562
6596360	560
6597912	559
6599456	561
6601000	559
6602544	561
6604088	558
6605640	559
6607192	557
6608744	558
6610296	556
6611848	556
6613400	556
6614944	555
6616496	556
6618048	553
6619600	555
6621152	553
6622704	553
6624256	552
6625808	552
6627352	553
6628904	551
6630448	553
6632000	549
6633544	552
6635096	549
6636648	549
6638200	549
6639744	548
6641296	549
6642848	547
6644400	549
6645952	545
6647504	548
6649064	545
6650608	545
6652160	544
6653704	544
6655256	545
6656800	543
6658344	544
6659896	541
6661448	543
6662992	541
6664536	542
6666088	542
6667640	540
6669192	542
6670736	539
6672288	541
6673840	538
6675392	539
6676944	537
6678496	537
6680048	537
6681600	536
6683144	538
6684688	535
6686240	537
6687792	535
6689344	536
6690896	535
6692448	535
6693992	536
6695544	534
6697088	536
6698640	534
6700184	536
